IYS_Specimen_ID,IAgroup
IYS2022-TINRO-3-15-Trawl-106-224,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-107-226,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-17-Trawl-123-240,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-123-241,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-123-242,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-123-243,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-17-Trawl-123-244,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-123-245,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-123-247,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-123-248,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-124-249,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-18-Trawl-131-250,Western_AK_BBay
IYS2022-TINRO-3-18-Trawl-131-251,Western_AK_BBay
IYS2022-TINRO-3-18-Trawl-131-252,Western_AK_BBay
IYS2022-TINRO-3-18-Trawl-131-253,Western_AK_BBay
IYS2022-TINRO-3-19-Trawl-137-255,Western_AK_BBay
IYS2022-TINRO-3-19-Trawl-137-256,BC_WA
IYS2022-TINRO-3-20-Trawl-144-257,BC_WA
IYS2022-TINRO-3-22-Trawl-153-266,Western_AK_BBay
IYS2022-TINRO-3-22-Trawl-153-267,Western_AK_BBay
IYS2022-TINRO-3-22-Trawl-153-268,Western_AK_BBay
IYS2022-TINRO-3-22-Trawl-153-269,Western_AK_BBay
IYS2022-TINRO-3-22-Trawl-153-270,PWS_CopperR_SEAK
IYS2022-TINRO-3-22-Trawl-153-271,PWS_CopperR_SEAK
IYS2022-TINRO-3-22-Trawl-153-272,PWS_CopperR_SEAK
IYS2022-TINRO-3-22-Trawl-154-278,PWS_CopperR_SEAK
IYS2022-TINRO-3-22-Trawl-153-273,Western_AK_BBay
IYS2022-TINRO-3-22-Trawl-153-274,Western_AK_BBay
