IYS_Specimen_ID,GCLcard_position,IAgroup
IYS2022-TINRO-3-26-Trawl-183-398,0000057878_5,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-400,0000057878_7,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-401,0000057878_8,BC_WA
IYS2022-TINRO-3-26-Trawl-183-403,0000057878_10,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-404,0000057864_1,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-405,0000057864_2,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-407,0000057864_4,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-408,0000057864_5,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-409,0000057864_6,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-410,0000057864_7,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-411,0000057864_8,Cook_Inlet
IYS2022-TINRO-3-26-Trawl-183-413,0000057864_10,BC_WA
IYS2022-TINRO-3-26-Trawl-183-415,0000057874_1,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-417,0000057874_3,BC_WA
IYS2022-TINRO-3-26-Trawl-183-427,0000057874_4,PWS_CopperR_SEAK
IYS2022-TINRO-3-26-Trawl-183-418,0000057874_5,BC_WA
IYS2022-TINRO-3-26-Trawl-183-419,0000057874_6,Cook_Inlet
IYS2022-TINRO-3-26-Trawl-183-420,0000057874_7,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-422,0000057874_9,Western_AK_BBay
IYS2022-TINRO-3-27-Trawl-191-439,0000057870_2,PWS_CopperR_SEAK
IYS2022-TINRO-3-27-Trawl-192-440,0000057870_3,Western_AK_BBay
IYS2022-TINRO-3-28-Trawl-201-443,0000057870_4,Cook_Inlet
IYS2022-TINRO-3-28-Trawl-202-444,0000057870_5,Western_AK_BBay
IYS2022-TINRO-3-28-Trawl-202-445,0000057870_6,PWS_CopperR_SEAK
